,Salty potato in the hole,Pony Polo,Straat van Hormuz,Red Claes Compaen,Nick's weekendspecial,Danoontje Powerrrrr,Kamelenrace,XXL Memory
Round 1,"The Resurrection of the Return of the Revivial of Zeem and the Wankers, Poederpinda, Dankzij Jasper en Daan, Ernst, Bobbie en de groep is verpest","Online Kater, Waar is Lucas Broek?, Khz, T40","De Befbössels, Ties Mulder, Meiden, False Positivity","Grolschgenoten, Zwartn Labradors, Hennie Halfgas, Flip Fluitketel","Plonsploeg Noabergirls en de Romeo's, Bananenbende, Geil, Defietsenfamilie","Harde Kern, Biercelona, Picobello.bv, De Wasmachine's","Aanhangers United, Multifunctioneel, Noaberson Legends, Liever Dood dan Tweede","De Barry's, The Flying Taco's, TJawel, Daphne Mentink"
Round 2,"Aanhangers United, Online Kater, Waar is Lucas Broek?, Ties Mulder","Plonsploeg Noabergirls en de Romeo's, Meiden, False Positivity, T39","Liever Dood dan Tweede, Geil, Flip Fluitketel, T40","Multifunctioneel, The Resurrection of the Return of the Revivial of Zeem and the Wankers, Adtje Kratje, T38","TJawel, Spice Girls 2.0, Daphne Mentink, Dankzij Jasper en Daan","De Befbössels, Bananenbende, Noaberson Legends, De Dinnies","Grolschgenoten, De Barry's, Harde Kern, Bruh","Zwartn Labradors, Biercelona, Picobello.bv, Bierbabes"
Round 3,"De Barry's, The Flying Taco's, Hennie Halfgas, Bier Maatjes","Aanhangers United, Ties Mulder, Adtje Kratje, Ernst, Bobbie en de groep is verpest","Multifunctioneel, Waar is Lucas Broek?, De Dinnies, T39","De Befbössels, Noaberson Legends, Liever Dood dan Tweede, Geil","Grolschgenoten, Biercelona, De Wasmachine's, Bruh","TJawel, Spice Girls 2.0, Daphne Mentink, Poederpinda","Online Kater, Bananenbende, The Resurrection of the Return of the Revivial of Zeem and the Wankers, Flip Fluitketel","Meiden, Khz, False Positivity, Defietsenfamilie"
Round 4,"Harde Kern, Biercelona, Picobello.bv, Bruh","Bananenbende, The Resurrection of the Return of the Revivial of Zeem and the Wankers, Flip Fluitketel, Defietsenfamilie","Aanhangers United, Online Kater, Poederpinda, Khz","De Barry's, TJawel, Spice Girls 2.0, Daphne Mentink","Zwartn Labradors, The Flying Taco's, Bier Maatjes, Bierbabes","Plonsploeg Noabergirls en de Romeo's, Adtje Kratje, False Positivity, T40","Meiden, Dankzij Jasper en Daan, T38, T39","Grolschgenoten, Hennie Halfgas, De Wasmachine's, De Dinnies"
Round 5,"Bananenbende, Geil, False Positivity, T40","The Flying Taco's, Picobello.bv, De Wasmachine's, Bierbabes","The Resurrection of the Return of the Revivial of Zeem and the Wankers, Noaberson Legends, Adtje Kratje, Ernst, Bobbie en de groep is verpest","Online Kater, Plonsploeg Noabergirls en de Romeo's, Poederpinda, Dankzij Jasper en Daan","Multifunctioneel, De Befbössels, T38, T39","Aanhangers United, Waar is Lucas Broek?, Khz, Defietsenfamilie","Zwartn Labradors, Biercelona, TJawel, De Dinnies","Harde Kern, Bier Maatjes, Bruh, Spice Girls 2.0"
Round 6,"Zwartn Labradors, TJawel, De Wasmachine's, Bierbabes","Noaberson Legends, De Dinnies, Poederpinda, Geil","De Barry's, Hennie Halfgas, Plonsploeg Noabergirls en de Romeo's, Daphne Mentink","Harde Kern, Biercelona, Bier Maatjes, Bruh","Ties Mulder, Liever Dood dan Tweede, Meiden, Adtje Kratje","Multifunctioneel, Online Kater, The Resurrection of the Return of the Revivial of Zeem and the Wankers, Flip Fluitketel","Waar is Lucas Broek?, Khz, Ernst, Bobbie en de groep is verpest, Defietsenfamilie","Aanhangers United, De Befbössels, T38, T40"
Round 7,"De Befbössels, Plonsploeg Noabergirls en de Romeo's, Noaberson Legends, De Dinnies","Grolschgenoten, Harde Kern, Liever Dood dan Tweede, Daphne Mentink","Bananenbende, Dankzij Jasper en Daan, Defietsenfamilie, T38","Aanhangers United, Waar is Lucas Broek?, Ernst, Bobbie en de groep is verpest, T39","The Resurrection of the Return of the Revivial of Zeem and the Wankers, Khz, False Positivity, T40","Hennie Halfgas, Bier Maatjes, Bruh, Bierbabes","The Flying Taco's, Picobello.bv, De Wasmachine's, Spice Girls 2.0","Multifunctioneel, Online Kater, Ties Mulder, Flip Fluitketel"
Round 8,"Multifunctioneel, Flip Fluitketel, Khz, Defietsenfamilie","De Barry's, Hennie Halfgas, Bier Maatjes, Spice Girls 2.0","Grolschgenoten, Zwartn Labradors, TJawel, Bruh","The Flying Taco's, Picobello.bv, De Wasmachine's, Bierbabes","Aanhangers United, Online Kater, Waar is Lucas Broek?, Noaberson Legends","Ties Mulder, Meiden, T38, T39","Adtje Kratje, Poederpinda, Geil, False Positivity","Plonsploeg Noabergirls en de Romeo's, Liever Dood dan Tweede, Dankzij Jasper en Daan, Ernst, Bobbie en de groep is verpest"
Round 9,"Grolschgenoten, Spice Girls 2.0, Daphne Mentink, T38","Zwartn Labradors, Biercelona, TJawel, Bruh","The Flying Taco's, Bier Maatjes, De Wasmachine's, Bierbabes","Meiden, De Dinnies, Khz, False Positivity","De Barry's, Harde Kern, Hennie Halfgas, Picobello.bv","Liever Dood dan Tweede, Geil, Dankzij Jasper en Daan, Ernst, Bobbie en de groep is verpest","De Befbössels, Plonsploeg Noabergirls en de Romeo's, Ties Mulder, T40","Bananenbende, Adtje Kratje, Poederpinda, T39"
Round 10,"Liever Dood dan Tweede, Meiden, Adtje Kratje, T39","Multifunctioneel, De Befbössels, Dankzij Jasper en Daan, T38","Harde Kern, Biercelona, Picobello.bv, Spice Girls 2.0","Bananenbende, Ties Mulder, Defietsenfamilie, T40","De Dinnies, Poederpinda, Flip Fluitketel, Ernst, Bobbie en de groep is verpest","Grolschgenoten, De Barry's, Zwartn Labradors, The Flying Taco's","Hennie Halfgas, Bier Maatjes, Daphne Mentink, Bierbabes","Waar is Lucas Broek?, The Resurrection of the Return of the Revivial of Zeem and the Wankers, Noaberson Legends, Geil"
